location,price,features,listing_url,name,lat,long,source,rating
"10 Owen Street, Adelaide SA 5000",730,"['Bed: 3', 'Bath: 3', 'Car: 1']",https://www.homely.com.au/homes/10-owen-street-adelaide-sa-5000/8175298,,-34.9348401,138.5971116,homely,
"211/160 Grote Street, Adelaide SA 5000",580,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/211-160-grote-street-adelaide-sa-5000/8173794,,-34.9286066,138.5930912,homely,
"1106/102 Waymouth Street, Adelaide SA 5000",344,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/1106-102-waymouth-street-adelaide-sa-5000/8172560,,-34.9254421,138.5958327,homely,
"108/259 Gouger Street, Adelaide SA 5000",300,"['Bed: 1', 'Bath: 1', 'Car: 1', '26m²']",https://www.homely.com.au/homes/108-259-gouger-street-adelaide-sa-5000/8169737,,-34.9309595,138.589746,homely,
"4/9 Ebenezer Place, Adelaide SA 5000",440,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/4-9-ebenezer-place-adelaide-sa-5000/4258662,,-34.9231371,138.6092825,homely,
"24 Surflen Street, Adelaide SA 5000",410,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/24-surflen-street-adelaide-sa-5000/7227745,,-34.9321453,138.6023544,homely,
"401/421 King William Street, Adelaide SA 5000",420,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/401-421-king-william-street-adelaide-sa-5000/8162351,,-34.9350047,138.6000245,homely,
"1102/271 Gouger Street, Adelaide SA 5000",500,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/1102-271-gouger-street-adelaide-sa-5000/8161481,,-34.9309679,138.589054,homely,
"1703/17 Austin Street, Adelaide SA 5000",520,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/1703-17-austin-street-adelaide-sa-5000/8160933,,-34.9220479,138.6047535,homely,
"1403/180 Morphett Street, Adelaide SA 5000",450,"['Bed: 1', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/1403-180-morphett-street-adelaide-sa-5000/8159594,,-34.92672290000001,138.5941253,homely,
"501/267 Hutt Street, Adelaide SA 5000",495,"['Bed: 2', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/501-267-hutt-street-adelaide-sa-5000/8151064,,-34.9344495,138.6122706,homely,
"17/20 Charlick Circuit, Adelaide SA 5000",460,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/17-20-charlick-circuit-adelaide-sa-5000/8147153,,-34.9229942,138.6101086,homely,
"97/4-8 Charles Street, Adelaide SA 5000",650,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/97-4-8-charles-street-adelaide-sa-5000/8148715,,-34.9216849,138.6036668,homely,
"174 Wakefield Street, Adelaide SA 5000",680,"['Bed: 3', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/174-wakefield-street-adelaide-sa-5000/8146807,,-34.9280274,138.6073267,homely,
"2601/29 Angas Street, Adelaide SA 5000",-1,"['Bed: 2', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/2601-29-angas-street-adelaide-sa-5000/8144844,,-34.9303155,138.6019736,homely,
"Unit 104/102 Waymouth St, Adelaide SA 5000",420,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/unit-104-102-waymouth-st-adelaide-sa-5000/8143502,,-34.9255918,138.5958427,homely,
"10/107 Grote Street, Adelaide SA 5000",650,"['Bed: 4', 'Bath: 3', 'Car: 1']",https://www.homely.com.au/homes/10-107-grote-street-adelaide-sa-5000/8138701,,-34.9294485,138.5955057,homely,
"7/112 Gilbert Street, Adelaide SA 5000",630,"['Bed: 3', 'Bath: 3', 'Car: 1']",https://www.homely.com.au/homes/7-112-gilbert-street-adelaide-sa-5000/8133121,,-34.9343705,138.5962049,homely,
"M01/102 Waymouth Street, Adelaide SA 5000",410,"['Bed: 2', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/m01-102-waymouth-street-adelaide-sa-5000/8129809,,-34.9254421,138.5958327,homely,
"28 Hume Street, Adelaide SA 5000",495,"['Bed: 3', 'Bath: 1', 'Car: 4']",https://www.homely.com.au/homes/28-hume-street-adelaide-sa-5000/5185868,,-34.9300875,138.6115815,homely,
"209/88 Frome Street, Adelaide SA 5000",-1,"['Bed: 1', 'Bath: 1', 'Car: 0']",https://www.homely.com.au/homes/209-88-frome-street-adelaide-sa-5000/7404128,,-34.9245544,138.6082297,homely,
"330 Angas Street, Adelaide SA 5000",470,"['Bed: 3', 'Bath: 1', 'Car: 1']",https://www.homely.com.au/homes/330-angas-street-adelaide-sa-5000/8121725,,-34.9291883,138.6133611,homely,
"9A Sparman Close, Adelaide SA 5000",510,"['Bed: 3', 'Bath: 2', 'Car: 1']",https://www.homely.com.au/homes/9a-sparman-close-adelaide-sa-5000/5827222,,-34.9324586,138.5992451,homely,
"3601/15 Austin Street, Adelaide SA 5000",1500,"['Bed: 3', 'Bath: 2', 'Car: 2']",https://www.homely.com.au/homes/3601-15-austin-street-adelaide-sa-5000/8116937,,-34.9219743,138.6048095,homely,
"2306/29 Angas Street, Adelaide SA 5000",580,"['Bed: 2', 'Bath: 2', 'Car: 0']",https://www.homely.com.au/homes/2306-29-angas-street-adelaide-sa-5000/8111866,,-34.9303155,138.6019736,homely,
