location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",750.3912363067293,"['4 guests', '2 bedrooms', '3 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/21222872?previous_page_section_name=1000&federated_search_id=2c14960a-3117-4dd7-9840-aa5a9975a1db,Adelaide CBD Exciting East End #4 Fringe/Womad,-34.9284989,138.6007456,aribnb,4.87 (274 reviews)
"Adelaide, Adelaide",660.5633802816901,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/20561118?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Studio 44,-34.9284989,138.6007456,aribnb,4.98 (154 reviews)
"Adelaide, Adelaide",1050.547730829421,"['4 guests', '2 bedrooms', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/50833649?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,"""NEW""Skyline View✔︎Luxury Apt✔︎Homey✔︎Heart of ADL",-34.9284989,138.6007456,aribnb,4.77 (31 reviews)
"The City of Norwood Payneham and St Peters, Adelaide",997.9655712050078,"['3 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/15289179?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Upper East Side on Fifth Ave. St Peters location.,-34.9086219,138.6338758,aribnb,4.71 (74 reviews)
"Adelaide, Adelaide",840.2190923317685,"['5 guests', '1 bedroom', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/50833143?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Spectacular Views Over North Terrace✔WIFI✔Parking✔,-34.9284989,138.6007456,aribnb,4.65 (20 reviews)
"Adelaide, Adelaide",1018.7793427230048,"['4 guests', '2 bedrooms', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/45455521?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,"Spacious Living Area, Everything at Your Doorstep",-34.9284989,138.6007456,aribnb,4.88 (16 reviews)
"Adelaide, Adelaide",494.0532081377152,"['2 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/38163154?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Brand New luxury South Terrace No.14,-34.9284989,138.6007456,aribnb,4.85 (66 reviews)
"Adelaide, Adelaide",751.4866979655712,"['4 guests', '2 bedrooms', '3 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/25466192?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Adelaide CBD Exciting East End #6 Fringe/Womad,-34.9284989,138.6007456,aribnb,4.81 (196 reviews)
"Adelaide, Adelaide",764.6322378716745,"['2 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/45791652?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Luxury Apt In Oaks Embassy✔Views✔Location,-34.9284989,138.6007456,aribnb,4.83 (24 reviews)
"Parkside, Adelaide",626.60406885759,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/150424?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,"The Lotus Eater, Garden bungalow 5 min to CBD",-34.9442493,138.6130151,aribnb,4.80 (183 reviews)
